,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
head language editor: Nine,HLE:,,HLE: Nine,HLE: Nine,,,,HLE: Olav /phrases and proofread: Yonas Fessehaye & Brhane Johannes / 100%,HLE: Olav /phrases and proofread: Yonas Fessehaye & Brhane Johannes / 100%,,,HLE: hjubaer,HLE: hjubaer,HLE: Armeghan,HLE: Armeghan,,,HLE: Sanija,,,,HLE: Caterina de Rosa,,,,HLE: Sabrina Power,,,,,HLE: Agostina,,,,,,HLE: Povilas Krikščiūnas,,,,
German,Arabic,Arabic phonetic,English,French,Slovenian,Dutch,Tigrinya,Tigrinya,Tigrinya Phonetic,Somali,Urdu,Bangla (বাংলা),Bangla Phonetic ,Farsi,Dari,Pashto,Albanian,Bosnian/ Croatian/ Serbian - final check DONE (Sanija & Vlasta),Macedonian - proofread by Ivica Bakovic 09/09/15,Russian,Slovak / Czech,Italian,"Kurdish
(Sorani)",Bulgarian,Kurdish (Kurmanji),Swedish / Norwegian / Danish,Finnish,Icelandic,Twi,Turkish,Spanish,"Hungarian - proofread by Ildiko Dekany 09/09/15, Kriszta Vályi 10/09/15",Portuguese,Greek phonetic,Greek alphabet,Romanian - proofread by Iulia Maria Dan 09/09/15,Lithuanian,Filipino,Vietnamese,Polish,Icons
"Können Sie hier [in diesem Phrasebook] finden, was Sie sagen wollen? Es beinhaltet viele Sprachen. Wir können so versuchen, zu kommunizieren.        ", عم تلاقي بقاموس الكلامات هاد الشي اللي بدك تقولو؟هون في لغات كتيرة. ممكن نتواصل هيك," Am tlaki bi Qamus El-Kalimat had El-Shi eli bdak tkulu,houn fi Ligat Ktira, momken nitwasah haik/Hal yumkinuka an tajida fi Al-kamus hatha ma turid an takulahu? Al-kamus yatadaman aded men Al-Lughat, rubama yumkinuna an natauasal bi hathihi Al-Tarika /",Can you find what you want to say here (in this phrasebook)? It has several languages. We can try to communicate this way.        ,Pouvez-vous trouver ce que vous voulez dire ici [dans ce phrasebook]? Il contient plusieurs langues. Nous pouvons ainsi essayer de communiquer.,"Lahko tu [v tem priročniku] najdete, kar želite reči? Vsebuje veliko jezikov. Lahko poskusimo komunicirati na ta način.",Kunt u/Kun je in dit woordenboek vinden wat je nodig hebt? Het bevat verschillende talen. Op deze manier kunnen we communiceren.,,እንታይ ክትብል ከም ዝደለኻ ካብዚ መጵሓፍ ክትረክቦ ምከኣልካዶ፧ ብዙሕ ቋንቋ ኣለዎ፥ በዚ ጌርና ክንረዳዳእ ኒፈቲን፥,Entay kitibil kemzideleka kabzi metshaft kitrekibo mikealka do? Buzuh quanqua alewo. Bezi gerna kinredadae niftin.,,, I,,,می توانید  چیزهایی که شما می خواهید  بگویید در این کتاب  پیدا کنید؟ با این کتاب  می توانیم با یکدیگر حرف بزنیم.,,A mund të gjeni çfarë dëshironi të thoni këtu [në këtë libër frazash]? Këtu janë disa gjuhë. Të përpiqemi të komunikojmë në këtë formë.,Možete li naći ono što želite reći ovdje [u ovoj knjižici]? Ima nekoliko jezika. Možemo probati komunicirati na taj način.,Дали можете да го најдете она што го барате овде (во оваа книшка)? Има неколку јазици. Можеме да се обидеме да комуницираме на тој начин. (Dali mozhete da go najdete ona shto go barate ovde (vo ovaa knishka)? Ima nekolku jazitsi. Mozheme da se obideme da komunitsirame na toj nachin.),,,Riesci a trovare qui [in questo frasario] quello che vuoi dire? Ha varie lingue. Possiamo provare a comunicare in questo modo.,,Можете ли тук да намерите това което искате да кажете [в този разговорник] ? Има различни езици. Можем да се опитаме да комуникираме по този начин.,,S: Kan du hitta det du vill säga här [= i den här parlören]? Den innehåller flera språk. Vi kan försöka kommunicera med hjälp av den.   N: Kan du finne hva du trenger å si her [i denne parløren]? Det finnes mange språg her.     ,Voisitteko etsiä täältä (tästä sanakirjasta) sen mitä haluaisitte sanoa? Siinä on useita kieliä. Voimme yrittää kommunikoida tällä tavalla.,,,Söylemek istediğini bu sözlükte/kitapçıkta bulabilir misin? Belki böyle iletişim kurabiliriz.,¿Puede buscar lo que quiere decir aquí (en este libro)? Tiene muchos idiomas. Podemos intentar comunicarnos de esta manera.,"Meg tudja találni itt, ebben a könyvben azt, amit mondani akar? Több nyelv is van, megpróbálhatunk így beszélgetni.",Pode procurar o que quer dizer aqui (neste livro)? Está em vários idiomas. Podemos tentar comunicar desta forma.,Borìte na vrìte edò (=se aftò to vivlìo) aftò pu thelete na pìte? Ehi poles gloses. Borume na dokimasume na epikinonisume etsi.,Μπορείτε να βρείτε εδώ (=σε αυτό το βιβλίο) αυτό που θέλετε να πείτε; Έχει πολλές γλώσσες. Μπορούμε να δοκιμάσουμε να επικοινωνήσουμε έτσι. ,Puteți găsi aici (în acest dicționar de fraze) ceea ce doriți să spuneți? Cuprinde numeroase limbi străine. Putem încerca să comunicăm astfel.,"Ar randate tai, ką norėtumėte pasakyti šioje knygoje? Ji parašyta įvairiomis kalbomis. Taip mes galėsime susišnekėti.",Kaya mo po bang hanapin ang gusto mong sabihin [=sa librong ito]? Maraming wika/lengguwahe sa librong ito. P(u)wede po tayong magkaintindihan gamit nito.,,Czy to co chcesz powiedzieć jest wśród tych zwrotów? Jest tu tłumaczenie na kilka języków. Możemy spróbować się tak porozumieć.,
hallo," مرحبا
اهلا",Saalam / Marhaba,Hello,bonjour / salut,Zdravo,Hallo,,ሰላም፣ሰላማት,selam/selamat,,"Salaam

سلام",সালাম ,salam /assalamu alaikum,"Salam
سلام","Salam
سلام",Salaam سلام,Përshëndetje,Zdravo / Bok / Ćao,Здраво (Zdravo),Привет / здравствуйте,"S: Ahoj
C: Ahoj",Salve/ Ciao,سڵاو,Zdravei / Здравей,Merheba,"S: Hej
N: Hallo/Hei
D: Hej",Hei,Halló,Merekyea wo!,Merhaba / Selam,Hola,Helló,Olá,Ya,Γεια,Salut!,Labas,Kamusta po /  Kamusta po kayo,xin chào,Cześć,
guten Tag,صباح الخیر,Sabáh alchayr,Good day,bonjour,Dober dan,Goedendag,,ደሓንዶ ውዒልኩም,deHando we´ilkum,,"Subh behkeir

صبح بخیر",সুপ্রভাত ,shuprobhat,"Sob bekheir
صبح بخیر","Sob bekheir
صبح بخیر",سهار په خیرSahar pa khair,Mirëdita,Dobar dan,Добар ден (Dobar den),Добрый день,"S: Dobrý deň
C: Dobrý den",Buongiorno,به‌یانی و باش,Dobar den  / Добър ден,Roj baş,"S: Goddag
N: God dag
D: Goddag",Hyvää päivää,Góðan daginn,Mema wo aha,Günaydın,Buenos días,Jó napot kívánok,Bom dia.,Kaliméra,Καλημέρα,Buna ziua,Laba diena,Magandang araw po,,Dzień dobry,
guten Abend,مساء الخیر,Masa alchayr,gevening,bonsoir,Dober večer,Goedenavond,,ከመይ አምሲም።,dehan dom sichum,,"shab bekheir

شب بخیر",শুভ সন্ধ্যা ,shubho shondha,"Shab bekheir
شب بخیر","Asr bekheir
عصر به خیر",شپه په خیرShpa pa Khair,Mirëmbrëma,Dobro veče / Dobra večer,Добро вечер (Dobro vecher),Добрый вечер,"S: Dobrý večer
C: Dobrý večer",Buonasera,ئێواره‌ت باش,Dobar vecher / Добър вечер,Êvar baş,"S: Godkväll
N: God kveld
D: God aften",Hyvää iltaa,Góða kvöldið,Mema wo adwo,İyi akşamlar,Buenas noches,Jó estét,Boa noite,Kaló vrádi,Καλό βράδυ,Bună seara,Labas vakaras,Magandang gabi po,,Dobry wieczór,
auf Wiedersehen,مع السلامة                                              باي ,ma‘a 's-saláma / Bye,goodbye,au revoir,Nasvidenje,"Tot ziens
",,ደሓን ኵን,deHan kun,,"Khuda hafez
خدا حافظ
",আবার দেখা হবে ,abar dekha hobe,"khodaafez
خداحافظ","khodaafez
خداحافظ",د خدای په امان   da khday pa aman,Mirupafshim,Doviđenja,Довидување (Doviduvanje),До свидания,"S: Dovidenia
C: Na shledanou",Arrivederci,خواحافیز,Dovizhdane / Довиждане,Bi xatirê te/ Oxir be,"S: Hejdå
N: Hadet bra
D: Farvel",Näkemiin,Vertu blessaður/Vertu blessuð,Nante yie,Hoşçakal,Adiós ,Viszontlátásra,Adeus,Is to epanidín,Εις το επανιδείν,La revedere,Iki,Paalam po,,Do widzenia. ,
Wo kommen Sie her?,من وين انت  /  من أي بلد أنت؟ ,Min Ouin inta(m) inti(f)? / min ay balad ant?,Where do you come from?,D'où venez-vous?,Od kod ste?,Waar kom je vandaan? / Waar komt u vandaan?,,ካበይ መጺእካ፧,kabey metsie´ka?,,?Aap kahan se hain اپ کہاں سے آئے هین,আপনি কোত্থেকে আসছেন?,apni kotha theke (kottheke) ashchhen?,,"Az kojaa aamadi?
از کجا آمدی؟",,Nga jeni?,Odakle dolazite?,Од каде доаѓате? (Od kade doagjate?),Вы откуда?,S: OdkiaǏ ste?,Di dove sei?,,Otkade idvate? / Откъде идвате?,,S: Varifrån kommer du?,Missä olette kotoisin? ,Hvaðan kemur þú?,,Nerelisiniz? / Nereden geliyorsunuz?,De donde viene?,Honnan érkezett?,De onde vem?,Apo pu ise?,Από πού είσαι;,De unde veniți?,Iš kur jūs?,Taga-saan po kayo?,,Skąd jesteś?,
Ich verstehe nicht.,ما فهمت / لم أفهم ,Ma Fhimt / Lam Afham,I don’t understand,Je ne comprends pas.,Ne razumem,Ik begrijp het niet.,,ኣይተረደኣንን,ayterdeanin,,"mujhe samajh mai nahi aaya

مجھے سمجھ میں نہیں آئی۔
",আমি বুঝতে পারছি না ,ami bujhte parchhi na ,"nemifahmam
نمی فهمم","nemifahmam
نمی فهمم",زه نه پوهېږم      za na puyegam,Nuk kuptoj,Ne razumijem / Ne razumem,Не разбирам (Ne razbiram),Я не понимаю,"S: Nerozumiem
C: Nerozumím",Non ho capito.,تیناگه م,Ne razbiram. / Не разбирам.,Ez vê fêm nakim,"S: Jag förstår inte.
N: Jeg forstår ikke.
D: Jeg forstår ikke.",En ymmärrä,Ég skil ekki,,Anlamıyorum.,No entiendo / No comprendo,Nem értem,Não entendo/compreendo,Den to katalavéno,Δεν το καταλαβαίνω.,Nu inteleg.,Aš nesuprantu.,Hindi ko po maintindihan,,Nie rozumiem,
"Können Sie hier [in diesem Phrasebook] finden, was Sie sagen wollen? Es beinhaltet viele Sprachen. Wir können so versuchen, zu kommunizieren.",فيك اتلاقي في هدا  الكتاب شو بدك تحكي. في هادا الكتاب اكتر من لغة، منشان نقدر نحكي مع بعض.,"fek etlaqi fe hada alketab shu bedak tehki. Fe hada alketab aktar min logha, minshan neqdar nehki ma'a ba'ad",Can you find what you want to say here [=in this phrasebook]? It has several languages. We can try to communicate this way.,Pouvez-vous trouver ce que vous voulez dire [dans ce phrasebook]? Il contient plusieurs langues. Nous pouvons essayer de communiquer ainsi.,"Lahko tu [v tem priročniku] najdete, kar želite reči? Vsebuje veliko jezikov. Lahko poskusimo komunicirati na ta način.",Kunt je/Kun je in dit woordenboek vinden wat je nodig hebt. Het bevat verschillende talen. Op deze manier kunnen we communiceren.,,እንታይ ክትብል ከም ዝደለኻ ካብዚ መጵሓፍ ክትረክቦ ምከኣልካዶ፧ ብዙሕ ቋንቋ ኣለዎ፥ በዚ ጌርና ክንረዳዳእ ኒፈቲን፥,Entay kitibil kemzideleka kabzi metshaft kitrekibo mikealka do? Buzuh quanqua alewo. Bezi gerna kinredadae niftin.,,,"আপনি যা বলতে চাইছেন, সেটা কি এখানে [এই বইয়ে] খুঁজে পাচ্ছেন? এখানে অনেকগুলো ভাষা আছে, এটার মাধ্যমে আমরা ভাব বিনিময় করার চেষ্টা করতে পারি  ","apni ja bolte chaichhen, sheta ki ekhane [ei boiye] khuje pachchhen? ekhane onekgulo bhasha achhe, etar maddhome amra kotha bolar cheshta korte pari/",,می توانید  چیزهایی که شما می خواهید  بگویید در این کتاب  پیدا کنید؟ با این کتاب  می توانیم با یکدیگر حرف بزنیم.,"
",,Možete li naći ono što želite reći ovdje (u ovoj knjižici)? Ima nekoliko jezika. Možemo probati komunicirati na taj način.,Дали можете да го најдете она што го барате овде (во оваа книшка)? Има неколку јазици. Можеме да се обидеме да комуницираме на тој начин. (Dali mozhete da go najdete ona shto go barate ovde (vo ovaa knishka)? Ima nekolku jazitsi. Mozheme da se obideme da komunitsirame na toj nachin.),,,Riesci a trovare qui [in questo frasario] quello che vuoi dire? Ha varie lingue. Possiamo provare a comunicare in questo modo.,,Можете ли тук да намерите това което искате да кажете [в този разговорник] ? Има различни езици. Можем да се опитаме да комуникираме по този начин. / Mozhete li tuk da namerite tova koeto iskate da kazhete [v tozi razgovornik]? Ima razlochni ezici. Mozhem da se opitame da komunikirame po tozi nachin.,,S: Kan du hitta det du vill säga här [= i den här parlören]? Den innehåller flera språk. Vi kan försöka kommunicera med hjälp av den.        ,Voisitteko etsiä täältä (tästä sanakirjasta) sen mitä haluaisitte sanoa? Siinä on useita kieliä. Voimme yrittää kommunikoida tällä tavalla.,,,Söylemek istediğini bu sözlükte/kitapçıkta bulabilir misin? Belki böyle iletişim kurabiliriz.,¿Puede buscar lo que quiere decir aquí (en este libro)? Tiene muchos idiomas. Podemos intentar comunicarnos de esta manera.,"Meg tudja találni itt, ebben a könyvben azt, amit mondani akar? Több nyelv is van, megpróbálhatunk így beszélgetni.",Pode procurar o que quer dizer aqui (neste livro)? Está em vários idiomas. Podemos tentar comunicar desta forma.,Borìte na vrìte edò (=se aftò to vivlìo) aftò pu thelete na pìte? Ehi poles gloses. Borume na dokimasume na epikinonisume etsi.,Μπορείτε να βρείτε εδώ (=σε αυτό το βιβλίο) αυτό που θέλετε να πείτε; Έχει πολλές γλώσσες. Μπορούμε να δοκιμάσουμε να επικοινωνήσουμε έτσι. ,Puteți găsi aici (în acest dicționar de fraze) ceea ce doriți să spuneți? Cuprinde numeroase limbi străine. Putem încerca să comunicăm astfel.,"Ar randate tai, ką norėtumėte pasakyti šioje knygoje? Ji parašyta įvairiomis kalbomis. Taip mes galėsime susišnekėti.",Kaya po ba ninyong hanapin ang gusto ninyong sabihin ([dito] sa librong ito)?  Maraming wika/lengguwahe sa librong ito. P(u)wede po tayong magkaintindihan gamit nito.,,Czy to co chcesz powiedzieć jest wśród tych zwrotów? Jest tu tłumaczenie na kilka języków. Możemy spróbować się tak porozumieć.,
Wie geht es Ihnen?,كيفكم                                                             شلونكم ,kifkum?   schlounkum?                              ,How are you?,Comment allez-vous ?,Kako ste?,Hoe gaat het?,,ከመይ ኣለኺ/ኻ፧,kemey al-leKhi/a?,,Aap kaise hain? آپ کیسے ہیں,কেমন আছেন?,kemon achhen?,Chi haal darid?                                    چه حال دارید؟,Chi haal darid?                                    چه حال دارید؟,,Si jeni? (si je?) ,Kako ste?,Како сте? (Kako ste?),Как дела? ,S: Ako sa máte?,Come sta?,,Kak ste? / Как сте?,,S: Hur mår du/ni? N: Hvordan går det?,Kuinka te voitte?,Hvernig hefur þú það?,,Nasılsınız?,¿Cómo está?,Hogy van?,Como está? / Tudo bem?,Pos ìste?,Πώς είστε;,Ce faceți? ( Cum vă simțiți?),Kaip jūs?,Kamusta po kayo?,,Jak się Państwo mają?,
Wie geht es dir?,كيفك/شلونك ,kifak(m) Kifek(f)? Schlouunak?,How are you?,Comment vas-tu?,Kako si?,Hoe gaat het met je?,,ከመይ ኣለኺ/ኻ፧,kemey al-leKhi/a?,,تم کیسے ہو؟        ?Tum kese ho,কেমন আছ?,kemon achho?,Chi haal dari?                                چه حال داری؟,"Chitor asti?
چتور استی؟",,Si jeni? (si je?),Kako si?,Како си? (Kako si?),,Ako sa máš,Come stai?,,Kak si? / Как си?,,S: Hur mår du/ni? N: Hvordan går det?,Kuinka voit?,Hvernig hefur þú það?,,Nasılsın?,¿Cómo se siente?,Hogy vagy?,Como te sentes?,Ti kànis?,Τι κάνεις;,Ce faci? ( Cum te simți?),Kaip jūs?,Kamusta po kayo?,,Jak się masz?,
