,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
head language editor: Nine,HLE:,,,HLE: Nine,HLE: Nine,,,,HLE: Olav /phrases and proofread: Yonas Fessehaye & Brhane Johannes / 100%,HLE: Olav /phrases and proofread: Yonas Fessehaye & Brhane Johannes / 100%,HLE: Olav,,HLE: hjubaer,HLE: hjubaer,HLE: Armeghan,HLE: Armeghan,,,HLE: Sanija,,,,HLE: Caterina de Rosa,,,,HLE: Sabrina Power,,,,,HLE: Agostina,,,,HLE Fotini,HLE Fotini,HLE Povilas Krikščiūnas,,,
German,Arabic (Syrian),Fusha Arabic,Syrian phonetic/Fusha phonetics,English,French,Slovenian,Dutch,Tigrinya,Tigrinya,Tigrinya Phonetic,Somali,Urdu,Bangla (বাংলা),Bangla Phonetic,Farsi,Dari,Pashto,Albanian,Bosnian/ Croatian/ Serbian ,Macedonian ,Russian,Slovak / Czech,Italian,"Kurdish
(Sorani)",Bulgarian,Kurdish (Kurmanji),Swedish / Norwegian / Danish,Finnish,Icelandic,Twi,Turkish,Spanish,Hungarian ,Portuguese,Greek phonetic,Greek alphabet,Romanian ,Lithuanian,Filipino,Vietnamese,Polish
hallo," مرحبا
اهلا", اهلا, Marhaba/Saalam ,Hello,bonjour / salut,Zdravo,Hallo,,ሰላም፣ሰላማት,selam/selamat,,"Salaam

سلام",সালাম,salam /assalamu alaikum,"Salam
سلام","Salam
سلام",Salaam سلام,Përshëndetje,Zdravo / Bok / Ćao,Здраво (Zdravo),Привет / здравствуйте,"S: Ahoj
C: Ahoj",Salve/ Ciao,سڵاو,Zdravei / Здравей,Merheba,"S: Hej
N: Hallo/Hei
D: Hej",Hei,Halló,Merekyea wo!,Merhaba / Selam,Hola,Helló,Olá,Ya,Γεια,Salut!,Labas,Kamusta,xin chào,Cześć
guten Tag,صباح الخیر,صباح الخیر,Sabáh alchayr,Good day,bonjour,Dober dan,Goedendag,,ደሓንዶ ውዒልኩም,deHando we´ilkum,,"Subh behkeir

صبح بخیر",সুপ্রভাত,shuprobhat,"Sob bekheir
صبح بخیر",Roze khob                        روز خوب   ,سهار په خیرSahar pa khair,Mirëdita,Dobar dan,Добар ден (Dobar den),Добрый день,"S: Dobrý deň
C: Dobrý den",Buongiorno,به‌یانی و باش,Dobar den /Добър ден,Roj baş,"S: Goddag
N: God dag
D: Goddag",Hyvää päivää,Góðan daginn,Mema wo aha,Günaydın,Buenos días,Jó napot kívánok,Bom dia.,Kaliméra,Καλημέρα,Buna ziua,Laba diena,Magandang araw,,Dzień dobry
guten Abend,مساء الخیر,مساء الخیر,Masaa alchayr,Good evening,bonsoir,Dober večer,Goedenavond,,ከመይ አምሲም።,dehan dom sichum,,"shab bekheir

شب بخیر",শুভ সন্ধ্যা,shubho shondha,"Shab bekheir
شب بخیر",Asr bekheir          عصر بخیر,شپه په خیرShpa pa Khair,Mirëmbrëma,Dobro veče/ Dobra večer,Добро вечер (Dobro vecher),Добрый вечер,"S: Dobrý večer
C: Dobrý večer",Buonasera,ئێواره‌ت باش,Dobar vecher/ Добър вечер,Êvar baş,"S: Godkväll
N: God kveld
D: God aften",Hyvää iltaa,Góða kvöldið,Mema wo adwo,İyi akşamlar,Buenas noches,Jó estét,Boa noite,Kaló vrádi,Καλό βράδυ,Bună seara,Labas vakaras,Magandang gabi,,Dobry wieczór
auf Wiedersehen,                                             باي ,مع السلامة , Bye/ma‘a 's-saláma,Goodbye,au revoir,Nasvidenje,Tot ziens,,ደሓን ኵን,deHan kun,,"Khuda hafez
خدا حافظ",আবার দেখা হবে,abar dekha hobe,"khodaafez
خداحافظ","khodaafez
خداحافظ",د خدای په امان da khday pa aman,Mirupafshim,Doviđenja,Довидување (Doviduvanje),До свидания,"S: Dovidenia
C: Na shledanou",Arrivederci,خواحافیز,Dovizhdane / Довиждане,Bi xatirê te/ Oxir be,"S: Hejdå
N: Hadet bra
D: Farvel",Näkemiin,bless,Nante yie,Hoşçakal,Adiós,Viszontlátásra,Adeus,Is to epanidín,Εις το επανιδείν,La revedere,Iki,Paalam,,Do widzenia.
Wo kommen Sie her?,من وين انت  , من أي بلد أنت؟ ,Min Ouin inta? / min ay balad anta?,Where do you come from?,D'où venez-vous?,Od kod ste?,Waar kom je vandaan? / Waar komt u vandaan?,,ካበይ መጺእካ፧ ፨ መጺእኪ፧,kabey metsieka? / Metsieki?,,?Aap kahan se hain           /             اپ کہاں سے آئے هین,আপনি কোত্থেকে আসছেন?,apni kotha theke (kottheke) ashchhen?,Shoma az Koja miayied?,Shoma as koja amadid                        شما ازکجا آمدید؟,,Nga vini?,Odakle dolazite?,Од каде доаѓате? (Od kade doagjate?),Вы откуда?,odkud pochàzite,Di dove sei?,,Ot kude idwate? / От къде идвате?,Tu ji ku yî?,S: Varifrån kommer du? N: Hvorfra kommer du?,Mistä olette kotoisin?,Hvaðan ert þú?,,Nerelisiniz? / Nereden geliyorsunuz?,De donde eres?,Honnan érkezett?,De onde o senhor/ a senhora vem?,Apo pu ise?,Από πού είσαι;,De unde veniti?,Iš kur Jūs atvykote?,Taga-saan po kayo?,,Skąd jesteś?
Ich verstehe das nicht.,ما فهمت , لم أفهم,Ma Fhimt / Lam Afham,I don’t understand,Je ne comprends pas.,Ne razumem,Ik begrijp het niet,,ኣይተረደኣንን,ayterdeanin,,"mujhe samajh mai nahi aaya

مجھے سمجھ میں نہیں آئی۔",আমি বুঝতে পারছি না,ami bujhte parchhi na,"nemifahmam
نمی فهمم","nemifahmam
نمی فهمم",زه نه پوهېږم za na puyegam,Nuk kuptoj,Ne razumijem / Ne razumem,Не разбирам (Ne razbiram),Я не понимаю,"S: Nerozumiem
C: Nerozumím",Non ho capito.,تیناگه م,Ne razbiram / не разбирам,Ez vê fêm nakim,"S: Jag förstår inte.
N: Jeg forstår ikke.
D: Jeg forstår ikke.",En ymmärrä.,Ég skil ekki?,,Anlamıyorum.,No entiendo / No comprendo,Nem értem,Não entendo/compreendo,Den to katalavéno,Δεν το καταλαβαίνω.,Nu inteleg.,Aš nesuprantu,Hindi ko po maintindihan,,Nie rozumiem
"Können Sie hier [in diesem Phrasebook] finden, was Sie sagen wollen? Es beinhaltet viele Sprachen. Wir können so versuchen, zu kommunizieren.", عم تلاقي بقاموس الكلامات هاد الشي اللي بدك تقولو؟هون في لغات كتيرة. ممكن نتواصل هيك,هل يمكنك أن تجد في قاموس المصطلحات هذا ما تريد أن تقوله؟ القاموس يتتضمن عدد من اللغات. ربما يمكننا أن نتواصل بهذه الطريقة ," Am tlaki bi Qamus El-Kalimat had El-Shi eli bdak tkulu,houn fi Ligat Ktira, momken nitwasah haik/Hal yumkinuka an tajida fi Al-kamus hatha ma turid an takulahu? Al-kamus yatadaman aded men Al-Lughat, rubama yumkinuna an natauasal bi hathihi Al-Tarika /",Can you find what you want to say here [=in this phrasebook]? It has several languages. We can try to communicate this way.,Regardez si vous pouvez trouver ce que vous voulez me dire ici [dans ce guide]. C'est en plusieurs langues. Nous pouvons essayer de communiquer comme ça.,"Lahko tu [v tem priročniku] najdete, kar želite reči? Vsebuje veliko jezikov. Lahko poskusimo komunicirati na ta način.",Kunt u (in dit boekje) vinden wat u wilt zeggen? Het bevat veel talen. We kunnen op deze manier proberen om met elkaar te communiceren.,,እንታይ ክትብል ከም ዝደለኻ ካብዚ መጵሓፍ ክትረክቦ ምከኣልካዶ፧ ብዙሕ ቋንቋ ኣለዎ፥ በዚ ጌርና ክንረዳዳእ ኒፈቲን፥,Entay kitibil kemzideleka kabzi metshaft kitrekibo mikealka do? Buzuh quanqua alewo. Bezi gerna kinredadae niftin.,,Aap ko is kitaab main jo kehna hai woh mil gaya? Is kitab main bohat si zabaanein hain. Ham is tarah say baat kar saktay hain. آپ کو اس کتاب میں جو کہنا ہے وہ مل گیا؟ اس کتاب میں بہت سی ذبانین ہیں۔ ہم اس طرح سے بات کر سکتے ہیں۔,"আপনি যা বলতে চাইছেন, সেটা কি এখানে [এই বইয়ে] খুঁজে পাচ্ছেন? এখানে অনেকগুলো ভাষা আছে, এটার মাধ্যমে আমরা ভাব বিনিময় করার চেষ্টা করতে পারি  ","apni ja bolte chaichhen, sheta ki ekhane [ei boiye] khuje pachchhen? ekhane onekgulo bhasha achhe, etar maddhome amra kotha bolar cheshta korte pari/",,Dar in ketab mitawanid chishaye ke mikhahid beguyid peyda konid?                در این کتاب می توانید چیزهایی که شما می خواهم بگوید پیدا کنید,,A mund të gjeni ate që doni të thoni këtu (në këtë libër frazash)? Janë disa gjuhë. Mund të provojmë të komunikojmë në këtë mënyrë.,Možete li naći ono što želite reći ovdje [u ovoj knjižici]? Ima nekoliko jezika. Možemo probati komunicirati na taj način.,Дали можете да го најдете она што го барате овде (во оваа книшка)? Има неколку јазици. Можеме да се обидеме да комуницираме на тој начин. (Dali mozhete da go najdete ona shto go barate ovde (vo ovaa knishka)? Ima nekolku jazitsi. Mozheme da se obideme da komunitsirame na toj nachin.),"Пожалуста, найдите что вы хотите сказать в этом разговорнике. В нём несколько различных языков. Мы попытаемся общаться с его помощью.","můžete zde prosím zkusit najít co chcete říci, je zde hodně jazyků,můžeme zkusit tak komunikovat","Puoi trovare quello, che vuoi dire qui[=in questo frasario]? Ci sono alcune lingue. Possiamo cercare di comunicare in questo modo.",,"Mozhe li da namerite tuk ( w tezi stranitsi) towa, koeto iskate da kazhete? Te sudurzhat prewod na mnogo ezici. Taka mozhem da opitame da se razberem. / Можете ли да намерите тук (в този страници) това, което искате да кажете? Те съдържат превод на много езици. Така ожем да опитаме да се разберем.",Gelo tu dikarî bimîne bê tu dixwazî çi bibeje li vir ( = di vê pirtukê de)? Pirtûk xwedî çend zimane ye. Em dikarin bi vê rîyê bi hev re têkiliyê çêbikin.,S: Kan du hitta vad du behöver säga [i den här parlören]? Den har många språk. Vi kan försöka att kommunicera på det här sättet. N: Kan du finne hva du trenger å si [i denne parløren]? Den har mange språk. Vi kan forsøke å kommunisere på denne måten.,Voisitteko etsiä täältä (tästä sanakirjasta) sen mitä haluaisitte sanoa? Siinä on useita kieliä. Voimme yrittää kommunikoida tällä tavalla.,"Getur þú fundið það sem þú vilt segja hér? Í þessari bók? Hún er á nokkrum tungumálum, við gætum reynt að tala saman í gegnum hana.",,Söylemek istediğini bu sözlükte/kitapçıkta bulabilir misin? Belki böyle iletişim kurabiliriz.,¿Puede usted encontrar o señalar lo que quiere decir aquí (en este libro de frases)? Está compuesto por varios idiomas. Podemos tratar de comunicarnos por este medio.,"Meg tudja találni itt, ebben a könyvben azt, amit mondani akar? Több nyelv is van, megpróbálhatunk így beszélgetni.",Você consegue encontrar o que quer dizer aqui (neste guia). Tem várias línguas. Podemos tentar comunicar desta forma.,borite na vrite afto pu thelete na pite edo? (se afto to vivlio) ehi poles gloses.borume na prospathisume na epikinonisume me afton ton tropo.,μπορείτε να βρείτε αυτό που θέλετε να πείτε εδώ;(σε αυτό το βιβλίο). έχει πολλές γλώσσες.Μπορούμε να προσπαθήσουμε να επικοινωνήσουμε με αυτόν τον τρόπο.,Puteti sa gasiti aici (in acest dictionar de expresii) ce vreti sa imi spuneti? Este in mai multe limbi. Putem incerca sa comunicam in acest fel.,"Ar randate tai, ką norėtumėte pasakyti šioje knygoje? Ji parašyta įvairiomis kalbomis. Taip mes galėsime susišnekėti.",,,"Czy potrafisz znaleźć tu [=w tych rozmówkach] to, co chciał(a)byś powiedzieć? Jest tu kilka języków; możemy spróbować porozumieć się w ten sposób."
Wie geht es Ihnen?,        شلونكم                                                         ,كيفكم  ,Schlounkon/Kifkoun,How are you?,Comment allez-vous ?,Kako ste?,Hoe gaat het met u?,,ከመይ ኣለኺ/ኻ፧,kemey al-leKhi/a?,,Aap kaise hain? آپ کیسے ہیں,কেমন আছেন?,kemon achhen?,Hale shoma chetor ast? چه حال دارید؟,Chi haal darid? چه حال دارید؟,,Si jeni? (si je?),Kako ste?,Како сте? (Kako ste?),Как дела?,,Come sta?,,Kak ste? / Как сте?,Hûn çawa ne?,S: Hur mår du/ni? N: Hvordan går det?,Kuinka te voitte?,Hvernig hefur þú það?,,Nasılsınız?,¿Cómo está?,Hogy van?,Como está?,pòs ìste?,Πώς είστε;,Cum va simtiti?,Kaip Jūs?,Kamusta po kayo? (formal),,Jak się Państwo mają?
